,col1,Name,RA_1,Dec_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,RA,Dec,z_paul,CIV_blue,CIV_EW,CIV_Distance,Separation_1a,NVSSff (Jy/beam,RA2000_1,DEC2000_1,Separation_1b,Dec+1,RA2000x,DEC2000x,NVSSblank (Jy/beam),RA2000_2,DEC2000_2,Separation_1c,r_z,Separation_1d,Peak_flux,E_Peak_flux,Separation,Integration Time (min)
24,2210,SDSSJ110643.99+494152.0,166.683321,49.697778,110643.99+494152.0,166.68331909179702,49.6977767944336,1.6697000265121498,2.0,1.0,1,-27.4334200035077,0.0,0.0,0.0,-26.7252451603441,-1.0,46.228601923449,45.933112411454104,0.0062112206183663,166.68332086813206,49.697779452165186,1.6670900000000002,139.00454898646743,33.06362792221933,0.5439466432796531,0.005236804724504459,0.00022999999999999998,166.6833333333333,49.69777777777777,0.02872991977340836,50.697778,11:06:44.00,+50:41:52.0,,,,,VI,0.0062112206023651395,,,0.0062112206023651395,65.0
38,2215,SDSSJ112934.85+481147.3,172.395245,48.196486,112934.85+481147.3,172.39524841308602,48.19648742675779,1.6809999942779499,1048579.0,1.0,1,-26.5477044978402,0.0,0.0,0.0,-27.010949638946702,-1.0,45.8702067927178,46.13757022035979,0.0096676363468146,172.395245,48.196486,1.6761700000000002,420.61844944920153,49.23326705408678,0.5001374404458907,0.0,0.0003,172.39524999999998,48.196472222222226,0.05103059689186406,49.196486,11:29:34.86,+49:11:47.3,,,,,DR7Q,0.009667636346814659,,,0.009667636346814659,65.0
46,2220,SDSSJ113653.01+482812.8,174.220914,48.470234000000005,113653.01+482812.8,174.220916748047,48.4702339172363,1.65489995479584,3.0,1.0,1,-26.4289357328793,0.0,0.0,0.0,-27.0296798760829,-1.0,45.890624559762294,45.820461500239894,0.0065658915476332,,,,,,,,0.00098,174.22091666666668,48.470222222222226,0.04287507195348006,49.470234000000005,11:36:53.02,+49:28:12.8,,,,,DR7Q,0.006565891547633256,1.0841284283189478,0.07273727600659184,0.006565891547633256,4.5
56,3012,SDSSJ145844.83+492439.7,224.686796,49.411041,145844.83+492439.7,224.686798095703,49.411041259765604,1.7134000062942498,1048579.0,1.0,1,-26.366832864625803,0.0,0.0,0.0,-27.086063828538197,-1.0,45.800917110106106,46.084546827372506,0.0049969671494778,224.686796,49.411041,1.7149,1430.9429416092248,33.75353224636082,0.6676832380324329,0.0,0.00026000000000000003,224.68679166666664,49.411027777777775,0.04867009730348138,50.411041,14:58:44.83,+50:24:39.7,,,,,DR7Q,0.004996967145192236,,,0.004996967145192236,65.0
57,2226,SDSSJ115729.71+495940.3,179.373821,49.994545,115729.71+495940.3,179.373825073242,49.994544982910206,1.7003999948501598,2.0,1.0,1,-27.924286868400504,0.0,0.0,0.0,-26.5192870028831,-1.0,46.4130075764638,46.4746004915143,0.0094268967826282,179.37382413041283,49.994547877642994,1.7040799999999998,1754.4468071250933,22.50003754659512,0.7683462391210514,0.012641413560929928,-0.0008300000000000001,179.37383333333332,49.994555555555564,0.0475258153406074,50.994545,11:57:29.72,+50:59:40.4,,,,,VI,0.00942689678262825,1.0583407202096922,0.05638257006817059,0.00942689678262825,4.5
58,2228,SDSSJ120554.84+494236.3,181.478533,49.710091999999996,120554.84+494236.3,181.47853088378898,49.710090637207,1.66600000858307,1048578.0,1.0,1,-26.4024599147859,0.0,0.0,0.0,-27.0439752141861,-1.0,45.838592673573295,46.10236334794929,0.0069526482364845,,,,,,,,0.00062,181.47854166666664,49.71008333333335,0.037155038667415055,50.710091999999996,12:05:54.85,+50:42:36.3,,,,,DR7Q,0.006952648278455833,,,0.006952648278455833,65.0
68,8518,SDSSJ134844.91+491330.8,207.18714599999998,49.225224,134844.91+491330.8,207.187149047852,49.225223541259794,1.65180003643036,3.0,1.0,1,-26.8950201270125,0.0,0.0,0.0,-26.8000271517413,-1.0,46.063177497121,46.273840146382504,0.0073536861769218,,,,,,,,0.00086,207.18716666666668,49.22522222222222,0.04900937061247243,50.225224,13:48:44.92,+50:13:30.8,,,,,DR7Q,0.007353686230073785,,,0.007353686230073785,65.0
609,363,SDSSJ082233.63+501712.3,125.640133,50.286753000000004,082233.63+501712.3,125.64013671875,50.2867546081543,1.7348999977111799,1048580.0,0.0,1,-26.5624275844024,0.0,0.0,0.0,-27.039697544253396,-1.0,45.8910683295929,46.1158789914973,0.0103288716185553,125.640133,50.286753000000004,1.7367099999999998,1335.47529880546,43.454880590281505,0.6164550078751212,0.0,0.00056,125.64012499999995,50.28675,0.021336827907390936,51.286753000000004,08:22:33.63,+51:17:12.3,,,,,,,,,,65.0
618,373,SDSSJ082846.01+490938.4,127.19172900000001,49.160675,082846.01+490938.4,127.19172668456999,49.160675048828104,1.74730002880096,1048580.0,0.0,1,-26.190946755551,0.0,0.0,0.0,-27.1219386168207,-1.0,45.8083659083382,46.0068938830818,0.0054537811825268,127.19172900000001,49.160675,1.74584,214.1612445399542,41.54823400859549,0.51394186528372,0.0,-0.00021,127.19170833333334,49.16066666666666,0.057158797589690995,50.160675,08:28:46.01,+50:09:38.4,,,,,,,,,,65.0
981,3925,SDSSJ140952.13+490901.9,212.467213,49.150541,140952.13+490901.9,212.467208862305,49.150539398193395,1.72940003871918,1048578.0,1.0,1,-26.818096543802902,0.0,0.0,0.0,-26.9285998016362,-1.0,45.977746626532706,46.1566413743509,0.0113215044217756,212.467213,49.150541,1.7312400000000001,1422.5765934048966,39.5683780890195,0.640937017872083,0.0,5e-05,212.46720833333333,49.150527777777775,0.04885187662316341,50.150541,14:09:52.13,+50:09:01.9,,,,,DR7Q,0.011321504421775585,0.4614270935327877,0.07328823419385938,0.011321504421775585,20.0
1044,830,SDSSJ083649.56+484154.1,129.206525,48.698365,083649.56+484154.1,129.206527709961,48.6983642578125,1.71080005168915,134224900.0,0.0,1,-27.2189881805137,0.0,0.0,0.0,-26.7954146478982,-1.0,46.0840573828429,46.213589977870704,0.0069714295575403,129.206525,48.698365,1.71567,1489.8346468779228,37.59408502018512,0.6560456358408482,0.0,0.0009,129.20654166666665,48.698361111111105,0.04200321318378413,49.698365,08:36:49.57,+49:41:54.1,,,,,,,,,,65.0
1251,3935,SDSSJ141556.63+484429.4,213.98596,48.741509,141556.63+484429.4,213.98596191406298,48.7415084838867,1.7125999927520799,1048579.0,1.0,1,-26.6069996340175,0.0,0.0,0.0,-27.057071154970103,-1.0,45.880228907208995,45.94421808930739,0.0049092553498417,213.98596,48.741509,1.70392,-11.658733825488758,63.84199964191128,0.4137776488304475,0.0,0.00074,213.98595833333331,48.7415,0.032640708020203205,49.741509,14:15:56.63,+49:44:29.4,,,,,DR7Q,0.0049092553498417185,0.8893126532459297,0.08120066514470764,0.0049092553498417185,4.5
1395,1133,SDSSJ162732.88+482836.9,246.887006,48.476921999999995,162732.88+482836.9,246.887008666992,48.476921081543,1.6732000112533603,1048580.0,0.0,1,-27.3931182807362,0.0,0.0,0.0,-26.637856429271302,-1.0,46.25572330961229,46.525431100074904,0.0071724176739254,246.88700760233115,48.476925750968505,1.6766400000000001,703.0461724300593,40.573160557937854,0.5637211593782869,0.014034495527220744,-0.00053,246.887,48.47691666666667,0.023951552674474116,49.476921999999995,16:27:32.88,+49:28:36.9,,,,,,,,,,65.0
1742,1502,SDSSJ090304.61+480336.5,135.769239,48.060148,090304.61+480336.5,135.769241333008,48.0601463317871,1.73580002784729,1048578.0,1.0,1,-26.5310368131993,0.0,0.0,0.0,-27.0153666162321,-1.0,45.8676145116226,46.1180123485969,0.0082204995431699,,,,,,,,0.00065,135.76925000000003,48.06013888888889,0.04214646400220297,49.060148,09:03:04.62,+49:03:36.5,,,,,,,,,,65.0
1744,1504,SDSSJ091003.60+501320.1,137.515027,50.222259,091003.60+501320.1,137.515029907227,50.222259521484396,1.65910005569458,1048579.0,1.0,1,-26.5692060990672,0.0,0.0,0.0,-27.001205276832,-1.0,45.86468073829351,46.196996786913395,0.0069544591335748,,,,,,,,-0.00098,137.5150416666667,50.22225,0.046807967109151236,51.222259,09:10:03.61,+51:13:20.1,,,,,,,,,,65.0
1850,1614,SDSSJ155402.58+482951.0,238.510773,48.497523,155402.58+482951.0,238.510772705078,48.4975242614746,1.7423000335693402,3.0,1.0,1,-27.350069081030302,1.0,0.0,0.0,-26.719840735534397,-1.0,46.2130322990795,46.2670723740862,0.0045954833507606,238.510773,48.497523,1.74816,1157.3512202981158,38.68622878182519,0.6182250194709364,0.0,0.00044,238.51079166666665,48.497527777777776,0.04773659351778264,49.497523,15:54:02.59,+49:29:51.1,,,,,,,,,,65.0
1851,1615,SDSSJ155237.65+481135.0,238.15689500000002,48.193071,155237.65+481135.0,238.156890869141,48.19306945800779,1.73969995975494,1048579.0,1.0,1,-26.495640139531805,0.0,0.0,0.0,-27.0107209137523,-1.0,45.935563874123,46.134730019013205,0.0113618290795949,238.15689500000002,48.193071,1.73645,760.6728123290852,49.916530004484116,0.5323103466961967,0.0,0.00035,238.15687500000004,48.19308333333333,0.06538390466485765,49.193071,15:52:37.65,+49:11:35.1,,,,,,,,,,65.0
1852,1616,SDSSJ154810.92+482528.1,237.045528,48.424483,154810.92+482528.1,237.04553222656298,48.42448425292971,1.7458000183105502,3.0,1.0,1,-26.2512307668772,0.0,0.0,0.0,-27.1713661618437,-1.0,45.73770881961389,45.990381687905504,0.0110588545837326,237.045528,48.424483,1.7470400000000001,640.348018962491,34.939609272655375,0.582574000583232,0.0,-0.0003,237.04554166666668,48.42447222222222,0.05070923498567166,49.424483,15:48:10.93,+49:25:28.1,,,,,,,,,,65.0
1856,1620,SDSSJ155330.43+501227.0,238.376833,50.207527,155330.43+501227.0,238.37683105468798,50.2075271606445,1.7131999731063798,1048579.0,1.0,1,-26.3525134562645,0.0,0.0,0.0,-27.0266161581138,-1.0,45.876637304204294,46.13160813558889,0.0045192176431902,238.376833,50.207527,1.70996,653.1884826202561,50.14212203335539,0.5194425293623974,0.0,7e-05,238.3768333333334,50.20752777777778,0.002903418748991276,51.207527,15:53:30.44,+51:12:27.1,,,,,,,,,,65.0
2080,1824,SDSSJ103833.10+484152.3,159.637945,48.697875,103833.10+484152.3,159.637939453125,48.6978759765625,1.7452000379562398,1048579.0,1.0,1,-27.5942151965981,0.0,0.0,0.0,-26.616248520666698,-1.0,46.3233918566401,46.38279884768471,0.0136407875425919,159.63793875892054,48.69788945797674,1.75925,2944.347606042092,17.751472862379003,0.9323882094558564,0.05412006958019452,0.00033999999999999997,159.6379583333334,48.69788888888888,0.059192161094370935,49.697875,10:38:33.11,+49:41:52.3,,,,,,,,,,65.0
2083,1826,SDSSJ103426.81+502101.7,158.611742,50.350483000000004,103426.81+502101.7,158.611740112305,50.3504829406738,1.69309997558594,1048579.0,1.0,1,-26.54513118476,0.0,0.0,0.0,-27.0190317064955,-1.0,45.85374879450271,46.056320558247506,0.0043415242627681,158.611742,50.350483000000004,1.69449,625.7651903448327,43.93936743137368,0.5418468292497525,0.0,0.00016,158.61174999999997,50.35047222222222,0.04293196413428636,51.350483000000004,10:34:26.82,+51:21:01.7,,,,,,,,,,65.0
2147,1927,SDSSJ091728.50+483203.1,139.368791,48.534199,091728.50+483203.1,139.368789672852,48.5341987609863,1.6656999588012702,1048578.0,1.0,1,-26.7466325505445,0.0,0.0,0.0,-26.8949582573318,-1.0,46.015493109767796,46.1202816287675,0.0032786099067274,,,,,,,,0.0006799999999999999,139.36879166666665,48.53419444444446,0.016476820191638625,49.534199,09:17:28.51,+49:32:03.1,,,,,,,,,,65.0
2504,2346,SDSSJ095047.48+480047.3,147.697835,48.013155,095047.48+480047.3,147.697830200195,48.013156890869105,1.74329996109009,1048579.0,1.0,1,-28.4727519433045,0.0,0.0,0.0,-26.259252579869102,-1.0,46.6848328095881,46.823236223510506,0.0134145864177108,147.69783612817398,48.01315580955354,1.73925,524.5132833802904,35.35591681906514,0.5690992843153273,0.003984394833157456,0.00029,147.69783333333336,48.01316666666665,0.0421913528950953,49.013155,09:50:47.48,+49:00:47.4,,,,,,,,,,65.0
2512,2353,SDSSJ095744.73+491823.3,149.436399,49.306498,095744.73+491823.3,149.43640136718798,49.3064994812012,1.6904000043868999,2.0,1.0,1,-27.2015095746679,0.0,0.0,0.0,-26.7238112267075,-1.0,46.1956702637078,46.272890180936095,0.0077010979327448,149.436399,49.306498,1.6875799999999999,629.7498817861873,82.13803743978005,0.3499875239156921,0.0,0.00036,149.43641666666667,49.3065,0.04208840826210378,50.306498,09:57:44.74,+50:18:23.4,,,,,,,,,,65.0
2525,2366,SDSSJ100823.41+494747.5,152.09755800000002,49.796534,100823.41+494747.5,152.097564697266,49.796535491943395,1.71679997444153,1048578.0,1.0,1,-27.252828428370105,0.0,0.0,0.0,-26.735897500875396,-1.0,46.1818625347998,46.258396259873,0.0164639235012582,152.09755800000002,49.796534,1.71783,1237.4521963568955,33.77743170938207,0.6484344688618934,0.0,-0.0008699999999999999,152.09754166666661,49.796527777777776,0.044072553194093034,50.796534,10:08:23.41,+50:47:47.5,,,,,,,,,,65.0
2545,2445,SDSSJ141912.62+501025.4,214.802606,50.17373,141912.62+501025.4,214.80261230468798,50.1737289428711,1.6706999540329,1048579.0,1.0,1,-26.7157629034912,0.0,0.0,0.0,-26.913326963375003,-1.0,45.992528979274304,46.186962030459696,0.0150263912939502,214.802606,50.17373,1.67061,874.3639468990556,54.105738782004146,0.5277052973150238,0.0,-0.00073,214.802625,50.173722222222224,0.051991398571843775,51.17373,14:19:12.63,+51:10:25.4,,,,,,,,,,65.0
2610,2551,SDSSJ152957.18+495116.4,232.488269,49.854562,152957.18+495116.4,232.48826599121102,49.8545608520508,1.6751999855041497,1048579.0,1.0,1,-26.4435841925571,1.0,0.0,0.0,-27.018781503645602,-1.0,45.880680282065605,46.106242741281996,0.0081146519422768,232.488269,49.854562,1.6744299999999999,575.1035513793022,45.45789966577626,0.5309834874372392,0.0,0.00074,232.48825,49.85455555555554,0.049829802718583616,50.854562,15:29:57.18,+50:51:16.4,,,,,,,,,,65.0
2611,2552,SDSSJ152544.08+492551.2,231.433679,49.430906,152544.08+492551.2,231.433685302734,49.430904388427706,1.70490002632141,3.0,1.0,1,-26.5907230907741,0.0,0.0,0.0,-26.937622842220996,-1.0,45.991774646456605,46.2298585575105,0.01585618448831,231.433679,49.430906,1.7094,1395.991453487513,43.42664309942876,0.6226806447488545,0.0,-0.00041,231.43366666666665,49.43091666666667,0.048045748804024485,50.430906,15:25:44.08,+50:25:51.3,,,,,,,,,,65.0
2615,2558,SDSSJ153745.03+481502.9,234.43763399999997,48.250815,153745.03+481502.9,234.437637329102,48.250816345214794,1.65190005302429,3.0,1.0,1,-26.7542449830127,0.0,0.0,0.0,-26.9446972473113,-1.0,45.9617903762813,46.0745918846819,0.0093347617061771,,,,,,,,-5.9999999999999995e-05,234.437625,48.250805555555566,0.040267196982506005,49.250815,15:37:45.03,+49:15:02.9,,,,,,,,,,65.0
2617,2560,SDSSJ153548.42+494818.7,233.95175099999997,49.805214,153548.42+494818.7,233.951751708984,49.80521392822271,1.73129999637604,1048578.0,1.0,1,-26.8440292360915,0.0,0.0,0.0,-26.9693230167203,-1.0,45.941253234794395,46.0919028686896,0.001667396302168,233.95175099999997,49.805214,1.7351,840.2176321361122,37.18429920151213,0.5924265496801275,0.0,0.00028,233.95174999999992,49.80522222222222,0.02969104537689165,50.805214,15:35:48.42,+50:48:18.8,,,,,,,,,,65.0
2766,2452,SDSSJ143154.32+494411.3,217.97634,49.736488,143154.32+494411.3,217.97633361816398,49.736488342285206,1.65460002422333,1048578.0,1.0,1,-26.1865747026138,0.0,0.0,0.0,-27.0786791600601,-1.0,45.769680432361895,46.0664006734331,0.0148996219852044,,,,,,,,0.00016999999999999999,217.9763333333333,49.73649999999999,0.045900329115906816,50.736488,14:31:54.32,+50:44:11.4,,,,,DR7Q,0.014899621926205732,,,0.014899621926205732,65.0
2833,2454,SDSSJ144913.21+483715.7,222.30506200000002,48.621051,144913.21+483715.7,222.305068969727,48.6210517883301,1.72259998321533,3.0,1.0,1,-27.9027503273317,0.0,0.0,0.0,-26.565917649380197,-1.0,46.3731184245761,46.367602308074595,0.0168271179422611,222.30506200000002,48.621051,1.7210900000000002,590.8337026152781,80.20043642876678,0.35599466572380795,0.0,-0.00078,222.3050416666666,48.621055555555564,0.05109152552632739,49.621051,14:49:13.21,+49:37:15.8,,,,,DR7Q,0.016827117942261053,0.5535485810563964,0.09525023529698276,0.016827117942261053,13.0
2868,2457,SDSSJ144549.72+493120.2,221.45718599999998,49.522302,144549.72+493120.2,221.457183837891,49.522300720214794,1.72800004482269,1048578.0,1.0,1,-26.6030347986562,0.0,0.0,0.0,-27.030843424224702,-1.0,45.8974649773738,45.976437334749,0.0068378852065099,221.45718599999998,49.522302,1.7284599999999999,989.4698036563052,34.457199392021195,0.6200020344211616,0.0,-9e-05,221.45716666666667,49.52230555555556,0.04695914009067097,50.522302,14:45:49.72,+50:31:20.3,,,,,DR7Q,0.0068378851910804285,,,0.0068378851910804285,65.0
3389,3498,SDSSJ125503.87+480952.9,193.766161,48.164696,125503.87+480952.9,193.766159057617,48.1646957397461,1.7190999984741202,1048586.0,1.0,1,-27.5644900050663,0.0,2.0,243.88580525207,-26.5723856659411,911.1128881468139,46.356681118632295,46.637180571704704,0.004757165640156,193.76617396499265,48.16470698178675,1.71328,321.8310752382087,40.021537139730846,0.5296655305843616,0.05032017255035213,0.21908000000000002,193.76616666666663,48.164694444444464,0.014713952345409178,49.164696,12:55:03.88,+49:09:52.9,,,,,,,,,,1.0
4558,4808,SDSSJ074729.63+492022.7,116.873492,49.339646,074729.63+492022.7,116.873489379883,49.33964538574221,1.71329998970032,10.0,1.0,1,-27.4987745071843,0.0,1.0,61.516590429647295,-26.603771444428002,247.03796494118598,46.314617020896904,46.5291074608408,0.00653163650585,116.873492,49.339646,1.70852,198.11404078305668,46.57231801401386,0.4926471079539397,0.0,0.05314,116.8735,49.33963888888889,0.031741098474093316,50.339646,07:47:29.64,+50:20:22.7,,,,,,,,,,1.0
5278,2223,SDSSJ114305.93+493542.7,175.774725,49.595208,114305.93+493542.7,175.774719238281,49.5952072143555,1.6951999664306598,3.0,1.0,1,-26.685157489663,0.0,0.0,0.0,-26.9168911709495,-1.0,45.996680490920106,46.3097728993727,0.0137390167770086,175.774725,49.595208,1.6973200000000002,884.1492300237868,39.607114507352534,0.5866456677636781,0.0,-0.0006,175.7747083333333,49.59519444444444,0.062401534527344114,50.595208,11:43:05.93,+50:35:42.7,9e-05,175.7747083333333,50.59519444444446,0.04879999998939986,DR7Q,0.013739016777008627,,,0.013739016777008624,65.0
5723,2230,SDSSJ121420.28+484743.5,183.584513,48.795432,121420.28+484743.5,183.584518432617,48.7954330444336,1.7311999797821,3.0,1.0,1,-27.3196734235125,0.0,0.0,0.0,-26.7485572579175,-1.0,46.164930506854404,46.36629436636989,0.0134208923549566,183.584513,48.795432,1.7270400000000001,392.70433417493837,52.08595106840119,0.4845669661991687,0.0,0.0006799999999999999,183.58449999999996,48.795444444444435,0.054382867166465655,49.795432,12:14:20.28,+49:47:43.6,-8e-05,183.58449999999996,49.795444444444456,0.04480000003719495,DR7Q,0.013420892361372193,1.2822969201122711,0.07385707620118448,0.013420892361372193,4.5
7132,7468,SDSSJ161601.73+495634.4,244.00721800000002,49.942899,161601.73+495634.4,244.007217407227,49.942897796630895,1.72259998321533,11.0,1.0,1,-27.487235936416102,0.0,1.0,11.853010840288698,-26.7538259656007,67.2441715121569,46.174377685149004,46.294393184316704,0.0045445976932833,244.0071917250929,49.94289968556385,1.7221,1117.2355126902178,44.02547406494441,0.5924265496801275,0.06092325899056094,0.013909999999999999,244.0072083333333,49.942888888888895,0.04273782229709819,50.942899,16:16:01.73,+50:56:34.4,,,,,,,,,,1.0
7529,7942,SDSSJ081602.19+492502.3,124.00916399999998,49.417322999999996,081602.19+492502.3,124.00916290283199,49.4173240661621,1.71410000324249,1048580.0,0.0,1,-26.792839708013602,0.0,0.0,0.0,-26.988403304238,-1.0,45.954266582753704,46.06846368676089,0.0046188859752063,124.00916399999998,49.417322999999996,1.71943,1753.5535912333369,50.68935730021786,0.6326358884368362,0.0,0.00056,124.00916666666667,49.41733333333333,0.0377205894543788,50.417322999999996,08:16:02.20,+50:25:02.4,,,,,,,,,,65.0
7691,3469,SDSSJ121436.43+481426.5,183.651833,48.240721,121436.43+481426.5,183.65184020996102,48.24072265625,1.73559999465942,1048578.0,1.0,1,-26.556739966476,0.0,0.0,0.0,-27.091971459481602,-1.0,45.82906296283689,46.0404034685703,0.0182860668474734,183.651833,48.240721,1.7295900000000002,255.8944112834568,36.74198665177022,0.5377066451204398,0.0,-0.00054,183.65183333333331,48.24072222222221,0.004471993380847493,49.240721,12:14:36.44,+49:14:26.6,,,,,DR7Q,0.018286066789801787,,,0.018286066789801787,65.0
7834,8278,SDSSJ102111.01+491330.3,155.295909,49.225094,102111.01+491330.3,155.295913696289,49.22509384155271,1.71979999542236,2.0,1.0,1,-26.3035902215491,1.0,0.0,0.0,-27.1028114018185,-1.0,45.870000402700704,45.764721063869295,0.0110562650331329,,,,,,,,-0.00056,155.29591666666667,49.22508333333333,0.042420159564712935,50.225094,10:21:11.02,+50:13:30.3,,,,,,,,,,65.0
8318,1501,SDSSJ085952.29+485046.7,134.967902,48.84633,085952.29+485046.7,134.96789550781298,48.8463287353516,1.6911000013351398,3.0,1.0,1,-26.5252836818748,0.0,0.0,0.0,-27.044042505971102,-1.0,45.8450735935192,46.0266675009195,0.0160402534105373,134.967902,48.84633,1.69108,922.6375890957815,52.36334976648893,0.5404579454036327,0.0,0.0005099999999999999,134.96791666666667,48.84633333333333,0.03676045234792076,49.84633,08:59:52.30,+49:50:46.8,0.0005200000000000001,134.96791666666667,49.84633333333335,0.012000000039814707,,,,,,65.0
8345,8236,SDSSJ105636.40+493156.4,164.151671,49.53235,105636.40+493156.4,164.151672363281,49.5323486328125,1.69910001754761,3.0,1.0,1,-26.245073473056102,0.0,0.0,0.0,-27.157072788557702,-1.0,45.8134696625545,45.6561707798077,0.005862656916468,164.151671,49.53235,1.69963,759.5705400297052,39.222147223683535,0.5753683424443157,0.0,0.00022999999999999998,164.15166666666667,49.53236111111111,0.04126147509206712,50.53235,10:56:36.40,+50:31:56.5,,,,,DR7Q,0.005862656916468052,,,0.005862656916468052,65.0
8348,2836,SDSSJ123612.46+485442.8,189.05192399999999,48.911902000000005,123612.46+485442.8,189.05192565918,48.911903381347706,1.71879994869232,3.0,1.0,1,-26.931748798077198,0.0,0.0,0.0,-26.9705802406569,-1.0,45.98118227920379,45.991284165958604,0.0063355798778314,189.05192399999999,48.911902000000005,1.71785,256.228569995871,82.16674471542524,0.3491293608002469,0.0,2.9999999999999997e-05,189.05191666666667,48.911888888888896,0.05028799540033217,49.911902000000005,12:36:12.46,+49:54:42.8,,,,,DR7Q,0.006335579877831486,,,0.006335579877831486,65.0
8363,2844,SDSSJ131028.13+482204.9,197.617234,48.368032,131028.13+482204.9,197.617233276367,48.3680305480957,1.73529994487762,1048578.0,1.0,1,-27.493449012836297,1.0,0.0,0.0,-26.6755372499046,-1.0,46.29992082485471,45.9057486286337,0.0055059262491883,197.61723391200704,48.36803272472528,1.7382360000000001,1482.1280138442223,6.9821040959571565,0.8877852574491961,0.00261748477825917,0.00025,197.61725,48.368027777777776,0.041174511201023514,49.368032,13:10:28.14,+49:22:04.9,,,,,VI,0.0055059262491883405,1.6920452662876884,0.0645057675238693,0.0055059262491883405,1.0
8364,2845,SDSSJ131624.27+494522.9,199.101148,49.756367,131624.27+494522.9,199.101150512695,49.7563667297363,1.6670999526977501,1048578.0,1.0,1,-26.947317909158397,0.0,0.0,0.0,-26.8065319329672,-1.0,46.0696936804294,46.3707489780229,0.0059243181941609,199.101148,49.756367,1.6750200000000002,2115.9787999790915,39.73053264905363,0.7065365743753892,0.0,0.00031,199.10116666666661,49.75636111111112,0.04831356948356489,50.756367,13:16:24.28,+50:45:22.9,,,,,DR7Q,0.0059243181941609395,0.37437309298080346,0.05324776956076117,0.0059243181941609395,30.0
8368,2848,SDSSJ132442.70+483400.5,201.177932,48.566815999999996,132442.70+483400.5,201.177932739258,48.5668144226074,1.66840004920959,1048578.0,1.0,1,-26.3041121660041,0.0,0.0,0.0,-27.0501023071774,-1.0,45.8302252080046,46.0625860131872,0.0059454357379901,,,,,,,,0.00018999999999999998,201.1779166666666,48.56680555555555,0.05242216677978125,49.566815999999996,13:24:42.70,+49:34:00.5,,,,,DR7Q,0.005945435737990184,,,0.005945435737990184,65.0
8370,2850,SDSSJ131922.17+490723.2,199.842388,49.123138,131922.17+490723.2,199.842391967773,49.123138427734396,1.68529999256134,3.0,1.0,1,-27.6153188958081,0.0,0.0,0.0,-26.621623357059498,-1.0,46.3211547595088,46.2429007339585,0.0094739234537518,199.842388,49.123138,1.6871599999999998,1011.8179582306587,46.8792081851494,0.5706543832432693,0.0,-0.00035,199.842375,49.123138888888896,0.030794297997388056,50.123138,13:19:22.17,+50:07:23.3,,,,,DR7Q,0.009473923457473898,0.35901036701290256,0.056666478369618675,0.009473923457473898,30.0
8373,2851,SDSSJ132250.60+500334.7,200.710834,50.059645,132250.60+500334.7,200.710830688477,50.05964660644529,1.7297999858856201,10.0,1.0,1,-27.124864641859798,0.0,1.0,110.609447843941,-26.7953156677319,690.4113019117821,46.122524468045505,46.3727811262356,0.0095927608980691,200.710834,50.059645,1.7306400000000002,949.7123040250593,37.833332303931215,0.6008444992932451,0.0,0.11559000000000001,200.7108333333333,50.05963888888889,0.02205388831170028,51.059645,13:22:50.60,+51:03:34.7,,,,,DR7Q,0.00959276089806917,342.8093152496589,0.1811850379453972,0.00959276089806917,1.0
8377,2854,SDSSJ133406.53+494235.7,203.52722,49.709936,133406.53+494235.7,203.52722167968798,49.709934234619105,1.71309995651245,2.0,1.0,1,-27.278293607968397,0.0,0.0,0.0,-26.710039132297698,-1.0,46.2099316359569,46.3745412508111,0.0074619603942898,203.52722,49.709936,1.7171599999999998,1315.0321942270946,42.144855648012275,0.6200020344211616,0.0,0.00055,203.52720833333336,49.70994444444445,0.040765237410788274,50.709936,13:34:06.53,+50:42:35.8,,,,,DR7Q,0.007461960394289838,0.5983524619117263,0.06049202985341489,0.007461960394289838,13.0
8381,2856,SDSSJ133420.86+485254.9,203.586922,48.881938,133420.86+485254.9,203.58692932128898,48.8819389343262,1.69700002670288,2097162.0,1.0,1,-27.0082808513305,0.0,1.0,30.9273398101272,-26.7861579322227,189.016840012882,46.124064398862295,46.3397212450033,0.0176558181362122,203.586922,48.881938,1.69593,709.5904919522984,36.63086945691909,0.5817654947264311,0.0,0.03564,203.58691666666667,48.881944444444436,0.0264132546856799,49.881938,13:34:20.86,+49:52:55.0,,,,,DR7Q,0.01765581801794401,,,0.01765581801794401,1.0
